1651	53.200142	-105.737999
1652	53.201759	-105.753807
1653	53.184635	-105.759918
1654	53.183369	-105.761200
1655	53.199833	-105.731033
1656	53.181187	-105.760468
1657	53.185322	-105.761261
1658	53.204929	-105.754707
1659	53.191021	-105.736748
1660	53.193390	-105.769440
1661	53.203205	-105.752441
1662	53.183369	-105.761200
1663	53.196442	-105.764702
1664	53.199844	-105.722717
1665	53.185322	-105.761261
1666	53.180840	-105.737167
1667	53.200516	-105.764519
1668	53.181919	-105.760376
1669	53.185322	-105.761261
1670	53.176457	-105.740952
1671	53.199585	-105.748772
1672	53.199150	-105.760490
1673	53.187511	-105.737854
1674	53.183800	-105.760750
1675	53.199585	-105.748528
1676	53.199257	-105.753868
1677	53.199444	-105.792954
1678	53.199646	-105.753769
1679	53.200058	-105.754501
1680	53.197788	-105.760742
1681	53.180157	-105.759934
1682	53.180553	-105.736565
1683	53.205059	-105.737152
1684	53.176792	-105.743485
1685	53.200905	-105.754135
1686	53.204704	-105.754044
1687	53.199246	-105.737976
1688	53.199638	-105.752762
1689	53.199238	-105.759697
1690	53.183800	-105.760750
1691	53.180454	-105.740372
1692	53.200058	-105.754501
1693	53.183090	-105.759308
1694	53.199719	-105.753838
1695	53.199772	-105.760391
1696	53.192047	-105.780609
1697	53.187511	-105.737854
1698	53.199806	-105.731903
1699	53.207401	-105.729523
1700	53.185696	-105.760376
1701	53.192211	-105.769707
1702	53.187431	-105.759903
1703	53.199535	-105.731895
1704	53.200600	-105.723679
1705	53.201134	-105.752487
1706	53.187553	-105.769608
1707	53.200352	-105.760147
1708	\N	\N
4582	\N	\N
4583	\N	\N
4584	\N	\N
4585	\N	\N
4586	\N	\N
4587	\N	\N
4588	\N	\N
4589	\N	\N
4590	\N	\N
4591	\N	\N
4592	\N	\N
4593	\N	\N
4594	\N	\N
4595	\N	\N
4596	\N	\N
4597	\N	\N
4598	\N	\N
4599	\N	\N
4600	\N	\N
4601	\N	\N
4602	\N	\N
4603	\N	\N
4604	\N	\N
4605	\N	\N
4606	\N	\N
4607	\N	\N
4608	\N	\N
4609	\N	\N
4610	\N	\N
4611	\N	\N
4612	\N	\N
4613	\N	\N
4614	\N	\N
4615	\N	\N
4616	\N	\N
4617	\N	\N
4618	\N	\N
4619	\N	\N
4620	\N	\N
4621	\N	\N
4622	\N	\N
4623	\N	\N
4624	\N	\N
4625	\N	\N
4626	\N	\N
4627	\N	\N
4628	\N	\N
4629	\N	\N
4630	\N	\N
4631	\N	\N
4632	\N	\N
4633	\N	\N
4634	\N	\N
4635	\N	\N
4636	\N	\N
4637	\N	\N
4638	\N	\N
4639	\N	\N
4640	\N	\N
4641	\N	\N
4642	\N	\N
4643	\N	\N
4644	\N	\N
4645	\N	\N
4646	\N	\N
4647	\N	\N
1709	\N	\N
1710	52.117645	-106.653488
1711	52.117645	-106.653488
1712	53.305569	-107.065018
1713	\N	\N
1714	\N	\N
1715	\N	\N
1716	53.226063	-106.389084
1717	53.219898	-106.388451
1718	53.218636	-106.388237
1719	53.220593	-106.388313
1720	53.217197	-106.393822
1721	53.219002	-106.388229
1722	53.225895	-106.388596
1723	53.219223	-106.388229
1724	53.234081	-106.198677
1725	53.220806	-106.388252
1726	\N	\N
1727	\N	\N
1728	53.361641	-107.518578
1729	53.364853	-107.519035
1730	53.365292	-107.519325
1731	53.365963	-107.513840
1732	53.365151	-107.518936
1733	53.364430	-107.519630
1734	53.361603	-107.518585
1735	\N	\N
1736	53.360500	-107.515999
1737	53.364983	-107.519424
1738	53.364338	-107.519661
1739	54.418583	-105.888847
1740	\N	\N
1741	\N	\N
1742	\N	\N
1743	52.921101	-105.813004
1744	53.522816	-106.994896
1745	54.418583	-105.888847
1746	\N	\N
1747	54.418583	-105.888847
1748	53.448448	-105.240181
1749	\N	\N
1750	\N	\N
1751	\N	\N
1752	\N	\N
1753	\N	\N
1754	50.802933	-103.542847
1755	50.803215	-103.542503
1756	50.802002	-103.544472
1757	\N	\N
1758	50.490402	-104.267815
1759	\N	\N
1760	\N	\N
1761	\N	\N
1762	\N	\N
1763	\N	\N
1764	\N	\N
1765	\N	\N
1766	\N	\N
1767	\N	\N
1768	\N	\N
1769	\N	\N
1770	\N	\N
1771	50.377907	-102.581429
1772	50.380291	-102.587509
1773	50.378174	-102.581467
1774	50.370602	-102.577293
1775	50.377277	-102.580933
1776	50.374344	-102.582649
1777	50.374355	-102.581772
1778	50.381184	-102.583122
1779	\N	\N
1780	\N	\N
1781	\N	\N
1782	\N	\N
1783	\N	\N
1784	\N	\N
1785	\N	\N
1786	50.708324	-104.809654
1787	\N	\N
1788	50.708324	-104.809654
1789	50.944252	-104.212570
1790	50.948879	-104.209282
1791	\N	\N
1792	50.946068	-104.211380
1793	50.593479	-104.878029
1794	\N	\N
1795	\N	\N
1796	\N	\N
1797	\N	\N
1798	\N	\N
1799	\N	\N
1800	\N	\N
1801	\N	\N
1802	\N	\N
1803	\N	\N
1804	\N	\N
1805	50.436588	-104.387268
1806	\N	\N
1807	\N	\N
1808	50.447231	-104.396187
1809	\N	\N
1810	\N	\N
1811	\N	\N
1812	\N	\N
1813	\N	\N
1814	\N	\N
1815	\N	\N
1816	50.445961	-104.380058
1817	\N	\N
1818	\N	\N
1819	\N	\N
1820	\N	\N
1821	\N	\N
1822	\N	\N
1823	\N	\N
1824	\N	\N
1825	\N	\N
1826	\N	\N
1827	50.757092	-103.784973
1828	\N	\N
1829	\N	\N
1830	50.146282	-101.666412
1831	50.765419	-103.805138
1832	\N	\N
1833	\N	\N
1834	\N	\N
1835	\N	\N
1836	\N	\N
1837	\N	\N
1838	50.768185	-103.794395
1839	50.765419	-103.805138
1840	50.768570	-103.794388
1841	\N	\N
1842	\N	\N
1843	\N	\N
1844	\N	\N
1845	\N	\N
1846	\N	\N
1847	\N	\N
1848	\N	\N
1849	\N	\N
1850	50.101059	-103.865799
1851	50.100319	-103.871857
1852	50.431259	-104.816551
1853	\N	\N
1854	50.412575	-102.928757
1855	50.413723	-102.928406
1856	50.412712	-102.929932
1857	50.412552	-102.928330
1858	50.409851	-102.935890
1859	50.411156	-102.928421
1860	\N	\N
1861	50.411507	-102.929085
1862	\N	\N
1863	\N	\N
1864	50.411099	-102.928841
1865	\N	\N
1866	\N	\N
1867	\N	\N
1868	\N	\N
1869	\N	\N
1870	\N	\N
1871	\N	\N
1872	\N	\N
1873	51.346264	-105.438225
1874	\N	\N
1875	51.344185	-105.441437
1876	50.533653	-103.669754
1877	50.535469	-103.667290
1878	50.530945	-103.667419
1879	\N	\N
1880	50.536926	-103.667938
1881	50.532841	-103.668907
1882	50.532490	-103.668549
1883	50.535545	-103.671295
1884	50.539429	-103.661415
1885	50.532024	-103.668533
1886	\N	\N
1887	\N	\N
1888	50.532585	-103.669106
1889	50.695431	-103.627213
1890	50.695431	-103.627213
1891	\N	\N
1892	\N	\N
1893	\N	\N
1894	\N	\N
1895	\N	\N
1896	50.431103	-104.814430
1897	\N	\N
1898	\N	\N
1899	\N	\N
1900	50.727779	-103.202835
1901	50.727947	-103.203262
1902	\N	\N
1903	\N	\N
1904	\N	\N
1905	\N	\N
1906	\N	\N
1907	\N	\N
1908	\N	\N
1909	\N	\N
1910	\N	\N
1911	\N	\N
1912	\N	\N
1913	\N	\N
1914	50.647335	-104.869179
1915	\N	\N
1916	\N	\N
1917	50.646900	-104.866478
1918	50.646618	-104.866486
1919	50.647064	-104.867729
1920	50.647335	-104.867943
1921	50.646397	-104.869011
1922	\N	\N
1923	50.643829	-104.867592
1924	50.646126	-104.869240
1925	\N	\N
1926	\N	\N
1927	\N	\N
1928	49.993519	-104.515328
1929	\N	\N
1930	\N	\N
1931	\N	\N
1932	\N	\N
1933	50.520386	-104.619515
1934	\N	\N
1935	\N	\N
1936	\N	\N
1937	\N	\N
1938	\N	\N
1939	\N	\N
1940	\N	\N
1941	50.147636	-101.662262
1942	\N	\N
1943	\N	\N
1944	\N	\N
1945	\N	\N
1946	50.145584	-101.665306
1947	\N	\N
1948	\N	\N
1949	\N	\N
1950	\N	\N
1951	\N	\N
1952	\N	\N
1953	\N	\N
1954	50.147102	-101.661079
1955	50.143997	-101.667221
1956	50.143997	-101.667221
1957	\N	\N
1958	50.150250	-101.659157
1959	\N	\N
1960	50.150444	-101.658928
1961	50.144104	-101.666603
1962	50.140869	-101.649490
1963	50.144863	-101.663704
1964	50.145119	-101.665871
1965	\N	\N
1966	50.282948	-103.786865
1967	50.282929	-103.784462
1979	\N	\N
1980	\N	\N
1981	\N	\N
1982	\N	\N
1983	\N	\N
1984	50.475769	-104.411697
1985	50.475769	-104.411697
1986	\N	\N
1987	\N	\N
1988	50.478035	-104.432678
1989	50.478558	-104.416679
1990	\N	\N
1991	\N	\N
1992	\N	\N
1993	\N	\N
1994	\N	\N
1995	50.541504	-103.878136
1996	50.543144	-103.877800
1997	\N	\N
1998	51.408817	-104.525391
1999	51.408077	-104.526184
2000	\N	\N
2001	\N	\N
2002	\N	\N
2003	\N	\N
2004	\N	\N
2005	51.409676	-104.536697
2006	\N	\N
2007	50.794788	-104.985985
2008	50.795052	-104.985718
2009	50.794170	-104.985985
2010	50.791290	-104.985703
2011	50.787201	-104.974327
2012	\N	\N
2013	\N	\N
2014	50.792965	-104.986176
2015	50.794689	-104.983322
2016	50.786633	-104.964165
2017	50.794670	-104.985718
2018	50.786633	-104.964165
2019	50.795166	-104.985718
2020	50.795044	-104.984352
2021	50.794670	-104.985985
2022	50.445709	-104.626633
2023	\N	\N
2024	\N	\N
